group_id,content_name,provider_id,topic_name
ADL,jSimpleVariableTest,quizjet,Variables
ADL,jVariable1_rev,quizjet,Variables
ADL,jVariables2,quizjet,Variables
ADL,jVariables3,quizjet,Variables
ADL,jVariable4_rev,quizjet,Variables
ADL,jprintlnTest,quizjet,Variables
ADL,jVariables5,quizjet,Variables
ADL,HelloPrinter,webex,Variables
ADL,variables1_v2,webex,Variables
ADL,variables2_v2,webex,Variables
ADL,HelloWorld2_v2,webex,Variables
ADL,VariableDemo,webex,Variables
ADL,PrintTester,webex,Variables
ADL,JavaTutorial_4_1_5,webex,Variables
ADL,ae_BJ4_ch01_s05_HelloPrinter,animatedexamples,Variables
ADL,ae_BJ4_ch01_s05_PrintTester,animatedexamples,Variables
ADL,ae_BJ4_ch02_s03_VariableDemo,animatedexamples,Variables
ADL,jUsingDouble,quizjet,Primitive_Data_Types
ADL,jusingFloat,quizjet,Primitive_Data_Types
ADL,PrimitiveDataTypes_v2,webex,Primitive_Data_Types
ADL,ae_JavaTutorial_4_1_3,animatedexamples,Primitive_Data_Types
ADL,ae_primitive_datatype_demo,animatedexamples,Primitive_Data_Types
ADL,jConstants2,quizjet,Constants
ADL,Constants_v2,webex,Constants
ADL,constant_v2,webex,Constants
ADL,ae_constant_demo,animatedexamples,Constants
ADL,ae_constant_math_demo,animatedexamples,Constants
ADL,ae_cash_register_constant_demo,animatedexamples,Constants
ADL,jCompoundAssignment_mult,quizjet,Arithmetic_Operations
ADL,jVariable1,quizjet,Arithmetic_Operations
ADL,jOperator1,quizjet,Arithmetic_Operations
ADL,jIncrement,quizjet,Arithmetic_Operations
ADL,jPostIncrement,quizjet,Arithmetic_Operations
ADL,jPostDecrement,quizjet,Arithmetic_Operations
ADL,jPreDecrement,quizjet,Arithmetic_Operations
ADL,jDouble1,quizjet,Arithmetic_Operations
ADL,jMathFuc1,quizjet,Arithmetic_Operations
ADL,jMathFuc2,quizjet,Arithmetic_Operations
ADL,jInt_Long,quizjet,Arithmetic_Operations
ADL,jMathAbs,quizjet,Arithmetic_Operations
ADL,jMathCeil,quizjet,Arithmetic_Operations
ADL,jConstants3,quizjet,Arithmetic_Operations
ADL,jDivision,quizjet,Arithmetic_Operations
ADL,arithmetic_v2,webex,Arithmetic_Operations
ADL,OperatorExample_v2,webex,Arithmetic_Operations
ADL,increment_v2,webex,Arithmetic_Operations
ADL,Decrement,webex,Arithmetic_Operations
ADL,CompoundAssignment,webex,Arithmetic_Operations
ADL,MathFunction_v2,webex,Arithmetic_Operations
ADL,TypeCasting_v2,webex,Arithmetic_Operations
ADL,ae_arithmetic_v2,animatedexamples,Arithmetic_Operations
ADL,ae_unary_demo,animatedexamples,Arithmetic_Operations
ADL,jString1,quizjet,Strings
